week,country,region,sub_region,cases,deaths
2020-10-26,Belgique,Wallonie,Namur,6529,0
2020-10-26,Belgique,Wallonie,Province de Luxembourg,3035,0
2020-10-26,Belgique,Wallonie,,0,547
2020-11-02,Belgique,Wallonie,Brabant Wallon,1859,0
2020-11-02,Belgique,Wallonie,Hainaut,10621,0
2020-11-02,Belgique,Wallonie,Liège,8872,0
2020-11-02,Belgique,Wallonie,Namur,3370,0
2020-11-02,Belgique,Wallonie,Province de Luxembourg,1721,0
2020-11-02,Belgique,Wallonie,,0,653
2020-11-09,Belgique,Wallonie,Brabant Wallon,1284,0
2020-11-09,Belgique,Wallonie,Hainaut,6466,0
2020-11-09,Belgique,Wallonie,Liège,4492,0
2020-11-09,Belgique,Wallonie,Namur,2000,0
2020-11-09,Belgique,Wallonie,Province de Luxembourg,1153,0
2020-11-09,Belgique,Wallonie,,0,605
2020-11-16,Belgique,Wallonie,Brabant Wallon,693,0
2020-11-16,Belgique,Wallonie,Hainaut,3814,0
2020-11-16,Belgique,Wallonie,Liège,2583,0
2020-11-16,Belgique,Wallonie,Namur,1111,0
2020-11-16,Belgique,Wallonie,Province de Luxembourg,704,0
2020-11-16,Belgique,Wallonie,,0,453
2020-11-23,Belgique,Wallonie,Brabant Wallon,472,0
2020-11-23,Belgique,Wallonie,Hainaut,2326,0
2020-11-23,Belgique,Wallonie,Liège,1567,0
2020-11-23,Belgique,Wallonie,Namur,789,0
2020-11-23,Belgique,Wallonie,Province de Luxembourg,569,0
2020-11-23,Belgique,Wallonie,,0,297
2020-11-30,Belgique,Wallonie,Brabant Wallon,433,0
2020-11-30,Belgique,Wallonie,Hainaut,2032,0
2020-11-30,Belgique,Wallonie,Liège,1200,0
2020-11-30,Belgique,Wallonie,Namur,614,0
2020-11-30,Belgique,Wallonie,Province de Luxembourg,574,0
2020-11-30,Belgique,Wallonie,,0,222
2020-12-07,Belgique,Wallonie,Brabant Wallon,447,0
2020-12-07,Belgique,Wallonie,Hainaut,2318,0
2020-12-07,Belgique,Wallonie,Liège,1197,0
2020-12-07,Belgique,Wallonie,Namur,750,0
2020-12-07,Belgique,Wallonie,Province de Luxembourg,508,0
2020-12-07,Belgique,Wallonie,,0,202
2020-12-14,Belgique,Wallonie,Brabant Wallon,483,0
